Anno_Mese,prec,rad,temp_mean,ITTER107,Territorio,TIPO_DATO2,Tipo indice,PRODCONS_AGRI_A,Prodotti acquistati,Seleziona periodo,Value,Flag Codes,Flags,PPA_ortive,Radicchio,Carrots,Peaches
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VEGETS,ortive,Gen-2021,111.7,,,0.3441644558800272,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VEGETS,ortive,Gen-2021,-1.4,,,0.659227109457022,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VEGETS,ortive,Gen-2021,4.8,,,0.6584962721345891,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,FERTIRSS,concimi e ammendanti,Gen-2021,93.4,,,0.4936018917040498,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,FERTIRSS,concimi e ammendanti,Gen-2021,1.6,,,0.33377842675714986,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,FERTIRSS,concimi e ammendanti,Gen-2021,0.1,,,0.4682587351763982,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,INSECDES,insetticidi,Gen-2021,115.2,,,0.5745290038650124,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,INSECDES,insetticidi,Gen-2021,0.5,,,0.2749165525315141,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,INSECDES,insetticidi,Gen-2021,0.3,,,0.2183802980455596,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,HERBIS,diserbanti,Gen-2021,109.0,,,0.6210373654434547,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,HERBIS,diserbanti,Gen-2021,-0.3,,,0.3968849206167601,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,HERBIS,diserbanti,Gen-2021,-0.4,,,0.5143089313009612,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VETERYSER,spese veterinarie,Gen-2021,119.0,,,0.37181219711044877,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VETERYSER,spese veterinarie,Gen-2021,0.3,,,0.2266831598715782,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,VETERYSER,spese veterinarie,Gen-2021,3.1,,,0.590671705999408,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,ANIMAEDING,mangimi,Gen-2021,112.5,,,0.6457525335333034,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,ANIMAEDING,mangimi,Gen-2021,3.6,,,0.5268152008958242,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,70,variazioni tendenziali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,ANIMAEDING,mangimi,Gen-2021,8.5,,,0.5413795982254243,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,65,indice dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,STRAIFEEDI,mangimi semplici,Gen-2021,121.4,,,0.4753302375537184,,,
2021-01-01,2.825806451612903,4.386645161290322,,IT,Italia,69,variazioni congiunturali dei prezzi dei prodotti acquistati dagli agricoltori (base 2015=100) - dati mensili,STRAIFEEDI,mangimi semplici,Gen-2021,4.7,,,0.6267765842671775,,,
